Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,33895,31065,2.5,6,184,20,28,2932,98,161
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,41045,37575,3,6,225,21,29,2998,98,161
BMW,325xi Sport,Wagon,Europe,All,32845,30110,2.5,6,184,19,26,3594,107,176
Buick,Rainier,SUV,USA,All,37895,34357,4.2,6,275,15,21,4600,113,193
Buick,Rendezvous CX,SUV,USA,Front,26545,24085,3.4,6,185,19,26,4024,112,187
Buick,Century Custom 4dr,Sedan,USA,Front,22180,20351,3.1,6,175,20,30,3353,109,195
Buick,LeSabre Custom 4dr,Sedan,USA,Front,26470,24282,3.8,6,205,20,29,3567,112,200
Buick,Regal LS 4dr,Sedan,USA,Front,24895,22835,3.8,6,200,20,30,3461,109,196
Buick,Regal GS 4dr,Sedan,USA,Front,28345,26047,3.8,6,240,18,28,3536,109,196
Buick,LeSabre Limited 4dr,Sedan,USA,Front,32245,29566,3.8,6,205,20,29,3591,112,200
Buick,Park Avenue 4dr,Sedan,USA,Front,35545,32244,3.8,6,205,20,29,3778,114,207
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,40720,36927,3.8,6,240,18,28,3909,114,207
Cadillac,Escalade,SUV,USA,Front,52795,48377,5.3,8,295,14,18,5367,116,199
Cadillac,SRX V8,SUV,USA,Front,46995,43523,4.6,8,320,16,21,4302,116,195
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,30835,28575,3.6,6,255,18,25,3694,113,190
Cadillac,Deville 4dr,Sedan,USA,Front,45445,41650,4.6,8,275,18,26,3984,115,207
Cadillac,Deville DTS 4dr,Sedan,USA,Front,50595,46362,4.6,8,300,18,26,4044,115,207
Cadillac,Seville SLS 4dr,Sedan,USA,Front,47955,43841,4.6,8,275,18,26,3992,112,201
Cadillac,XLR convertible 2dr,Sports,USA,Rear,76200,70546,4.6,8,320,17,25,3647,106,178
Cadillac,Escalade EXT,Truck,USA,All,52975,48541,6,8,345,13,17,5879,130,221
Chevrolet,Suburban 1500 LT,SUV,USA,Front,42735,37422,5.3,8,295,14,18,4947,130,219
Chevrolet,Tahoe LT,SUV,USA,All,41465,36287,5.3,8,295,14,18,5050,116,197
Chevrolet,TrailBlazer LT,SUV,USA,Front,30295,27479,4.2,6,275,16,21,4425,113,192
Chevrolet,Tracker,SUV,USA,Front,20255,19108,2.5,6,165,19,22,2866,98,163
Chevrolet,Aveo 4dr,Sedan,USA,Front,11690,10965,1.6,4,103,28,34,2370,98,167
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,12585,11802,1.6,4,103,28,34,2348,98,153
Chevrolet,Cavalier 2dr,Sedan,USA,Front,14610,13697,2.2,4,140,26,37,2617,104,183
Chevrolet,Cavalier 4dr,Sedan,USA,Front,14810,13884,2.2,4,140,26,37,2676,104,183
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,16385,15357,2.2,4,140,26,37,2617,104,183
Chevrolet,Impala 4dr,Sedan,USA,Front,21900,20095,3.4,6,180,21,32,3465,111,200
Chevrolet,Malibu 4dr,Sedan,USA,Front,18995,17434,2.2,4,145,24,34,3174,106,188
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,20370,18639,3.5,6,200,22,30,3297,106,188
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,21825,20026,3.4,6,180,21,32,3340,111,198
Chevrolet,Impala LS 4dr,Sedan,USA,Front,25000,22931,3.8,6,200,20,30,3476,111,200
Chevrolet,Impala SS 4dr,Sedan,USA,Front,27995,25672,3.8,6,240,18,28,3606,111,200
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,23495,21551,3.5,6,200,23,32,3315,106,188
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,24225,22222,3.8,6,200,18,28,3434,111,198
Chevrolet,Astro,Sedan,USA,All,26395,23954,4.3,6,190,14,17,4605,111,190
Chevrolet,Venture LS,Sedan,USA,Front,27020,24518,3.4,6,185,19,26,3699,112,187
Chevrolet,Corvette 2dr,Sports,USA,Rear,44535,39068,5.7,8,350,18,25,3246,105,180
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,51535,45193,5.7,8,350,18,25,3248,105,180
Chevrolet,Avalanche 1500,Truck,USA,All,36100,31689,5.3,8,295,14,18,5678,130,222
Chevrolet,Colorado Z85,Truck,USA,All,18760,17070,2.8,4,175,18,23,3623,111,192
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,20310,18480,4.3,6,200,15,21,4142,119,206
Chevrolet,Silverado SS,Truck,USA,All,40340,35399,6,8,300,13,17,4804,144,238
Chevrolet,SSR,Truck,USA,Rear,41995,39306,5.3,8,300,16,19,4760,116,191
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,22225,20394,3.5,6,200,22,30,3458,112,188
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,17985,16919,2.4,4,150,22,29,3101,103,169
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,22000,20573,2.4,4,150,22,29,3105,103,169
Chrysler,Sebring 4dr,Sedan,USA,Front,19090,17805,2.4,4,150,22,30,3173,108,191
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,21840,20284,2.7,6,200,21,28,3222,108,191
Chrysler,300M 4dr,Sedan,USA,Front,29865,27797,3.5,6,250,18,27,3581,113,198
Chrysler,Concorde LX 4dr,Sedan,USA,Front,24130,22452,2.7,6,200,21,29,3479,113,208
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,26860,24909,3.5,6,232,19,27,3548,113,208
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,25955,24172,2.4,4,220,21,27,3217,103,169
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,25215,23451,2.4,4,150,22,30,3357,106,194
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,33295,30884,3.5,6,255,18,27,3650,113,198
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,30950,28613,2.7,6,200,21,28,3448,106,194
Chrysler,Town and Country LX,Sedan,USA,Front,27490,25371,3.3,6,180,19,26,4068,119,201
Chrysler,Town and Country Limited,Sedan,USA,Front,38380,35063,3.8,6,215,18,25,4331,119,201
Chrysler,Crossfire 2dr,Sports,USA,Rear,34495,32033,3.2,6,215,17,25,3060,95,160
Chrysler,Pacifica,Wagon,USA,Rear,31230,28725,3.5,6,250,17,23,4675,116,199
Dodge,Durango SLT,SUV,USA,All,32235,29472,4.7,8,230,15,21,4987,119,201
Dodge,Neon SE 4dr,Sedan,USA,Front,13670,12849,2,4,132,29,36,2581,105,174
Dodge,Neon SXT 4dr,Sedan,USA,Front,15040,14086,2,4,132,29,36,2626,105,174
Dodge,Intrepid SE 4dr,Sedan,USA,Front,22035,20502,2.7,6,200,21,29,3469,113,204
Dodge,Stratus SXT 4dr,Sedan,USA,Front,18820,17512,2.4,4,150,21,28,3182,108,191
Dodge,Stratus SE 4dr,Sedan,USA,Front,20220,18821,2.4,4,150,21,28,3175,108,191
Dodge,Intrepid ES 4dr,Sedan,USA,Front,24885,23058,3.5,6,232,18,27,3487,113,204
Dodge,Caravan SE,Sedan,USA,Front,21795,20508,2.4,4,150,20,26,3862,113,189
Dodge,Grand Caravan SXT,Sedan,USA,All,32660,29812,3.8,6,215,18,25,4440,119,201
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,81795,74451,8.3,10,500,12,20,3410,99,176
Dodge,Dakota Regular Cab,Truck,USA,Rear,17630,16264,3.7,6,210,16,22,3714,112,193
Dodge,Dakota Club Cab,Truck,USA,Rear,20300,18670,3.7,6,210,16,22,3829,131,219
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,20215,18076,3.7,6,215,16,21,4542,121,208
Ford,Excursion 6.8 XLT,SUV,USA,All,41475,36494,6.8,10,310,10,13,7190,137,227
Ford,Expedition 4.6 XLT,SUV,USA,Front,34560,30468,4.6,8,232,15,19,5000,119,206
Ford,Explorer XLT V6,SUV,USA,All,29670,26983,4,6,210,15,20,4463,114,190
Ford,Escape XLS,SUV,USA,All,22515,20907,3,6,201,18,23,3346,103,173
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,13270,12482,2,4,130,26,33,2612,103,168
Ford,Focus LX 4dr,Sedan,USA,Front,13730,12906,2,4,110,27,36,2606,103,168
Ford,Focus SE 4dr,Sedan,USA,Front,15460,14496,2,4,130,26,33,2606,103,168
Ford,Focus ZX5 5dr,Sedan,USA,Front,15580,14607,2,4,130,26,33,2691,103,168
Ford,Focus SVT 2dr,Sedan,USA,Front,19135,17878,2,4,170,21,28,2750,103,168
Ford,Taurus LX 4dr,Sedan,USA,Front,20320,18881,3,6,155,20,27,3306,109,198
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,22735,20857,3,6,201,19,26,3313,109,198
Ford,Crown Victoria 4dr,Sedan,USA,Rear,24345,22856,4.6,8,224,17,25,4057,115,212
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,27370,25105,4.6,8,224,17,25,4057,115,212
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,30315,27756,4.6,8,239,17,25,4057,115,212
Ford,Freestar SE,Sedan,USA,Front,26930,24498,3.9,6,193,17,23,4275,121,201
Ford,Mustang 2dr (convertible),Sports,USA,Rear,18345,16943,3.8,6,193,20,29,3290,101,183
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,29380,26875,4.6,8,260,17,25,3347,101,183
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,37530,34483,3.9,8,280,17,24,3780,107,186
Ford,F-150 Regular Cab XL,Truck,USA,Rear,22010,19490,4.6,8,231,15,19,4788,126,211
Ford,F-150 Supercab Lariat,Truck,USA,All,33540,29405,5.4,8,300,14,18,5464,133,218
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,14385,13717,2.3,4,143,24,29,3028,111,188
Ford,Focus ZTW,Wagon,USA,Front,17475,16375,2,4,130,26,33,2702,103,178
Ford,Taurus SE,Wagon,USA,Front,22290,20457,3,6,155,19,26,3497,109,198
GMC,Envoy XUV SLE,SUV,USA,Front,31890,28922,4.2,6,275,15,19,4945,129,208
GMC,Yukon 1500 SLE,SUV,USA,Front,35725,31361,4.8,8,285,16,19,5042,116,199
GMC,Yukon XL 2500 SLT,SUV,USA,All,46265,40534,6,8,325,13,17,6133,130,219
GMC,Safari SLE,Sedan,USA,Rear,25640,23215,4.3,6,190,16,20,4309,111,190
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,16530,14877,2.8,4,175,18,25,3351,111,192
GMC,Sierra Extended Cab 1500,Truck,USA,Rear,25717,22604,4.8,8,285,17,20,4548,144,230
GMC,Sierra HD 2500,Truck,USA,All,29322,25759,6,8,300,13,18,5440,133,222
GMC,Sonoma Crew Cab,Truck,USA,All,25395,23043,4.3,6,190,15,19,4083,123,208
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,20140,18451,1.4,4,93,46,51,2732,103,175
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,19110,17911,2,3,73,60,66,1850,95,155
Honda,Pilot LX,SUV,Asia,All,27560,24843,3.5,6,240,17,22,4387,106,188
Honda,CR-V LX,SUV,Asia,All,19860,18419,2.4,4,160,21,25,3258,103,179
Honda,Element LX,SUV,Asia,All,18690,17334,2.4,4,160,21,24,3468,101,167
Honda,Civic DX 2dr,Sedan,Asia,Front,13270,12175,1.7,4,115,32,38,2432,103,175
Honda,Civic HX 2dr,Sedan,Asia,Front,14170,12996,1.7,4,117,36,44,2500,103,175
Honda,Civic LX 4dr,Sedan,Asia,Front,15850,14531,1.7,4,115,32,38,2513,103,175
Honda,Accord LX 2dr,Sedan,Asia,Front,19860,17924,2.4,4,160,26,34,2994,105,188
Honda,Accord EX 2dr,Sedan,Asia,Front,22260,20080,2.4,4,160,26,34,3047,105,188
Honda,Civic EX 4dr,Sedan,Asia,Front,17750,16265,1.7,4,127,32,37,2601,103,175
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,19490,17849,2,4,160,26,30,2782,101,166
Honda,Accord LX V6 4dr,Sedan,Asia,Front,23760,21428,3,6,240,21,30,3349,108,190
Honda,Accord EX V6 2dr,Sedan,Asia,Front,26960,24304,3,6,240,21,30,3294,105,188
Honda,Odyssey LX,Sedan,Asia,Front,24950,22498,3.5,6,240,18,25,4310,118,201
Honda,Odyssey EX,Sedan,Asia,Front,27450,24744,3.5,6,240,18,25,4365,118,201
Honda,S2000 convertible 2dr,Sports,Asia,Rear,33260,29965,2.2,4,240,20,25,2835,95,162
Hummer,H2,SUV,USA,All,49995,45815,6,8,316,10,12,6400,123,190
Hyundai,Santa Fe GLS,SUV,Asia,Front,21589,20201,2.7,6,173,20,26,3549,103,177
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,10539,10107,1.6,4,103,29,33,2255,96,167
Hyundai,Accent GL 4dr,Sedan,Asia,Front,11839,11116,1.6,4,103,29,33,2290,96,167
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,11939,11209,1.6,4,103,29,33,2339,96,167
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,13839,12781,2,4,138,26,34,2635,103,178
Hyundai,Elantra GT 4dr,Sedan,Asia,Front,15389,14207,2,4,138,26,34,2635,103,178
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,15389,14207,2,4,138,26,34,2698,103,178
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,19339,17574,2.7,6,170,19,27,3217,106,187
Hyundai,Sonata LX 4dr,Sedan,Asia,Front,20339,18380,2.7,6,170,19,27,3217,106,187
Hyundai,XG350 4dr,Sedan,Asia,Front,24589,22055,3.5,6,194,17,26,3651,108,192
Hyundai,XG350 L 4dr,Sedan,Asia,Front,26189,23486,3.5,6,194,17,26,3651,108,192
Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front,18739,17101,2.7,6,172,19,26,3023,100,173
Infiniti,G35 4dr,Sedan,Asia,Rear,28495,26157,3.5,6,260,18,26,3336,112,187
Infiniti,G35 Sport Coupe 2dr,Sedan,Asia,Rear,29795,27536,3.5,6,280,18,26,3416,112,182
Infiniti,G35 4dr,Sedan,Asia,All,32445,29783,3.5,6,260,18,26,3677,112,187
Infiniti,I35 4dr,Sedan,Asia,Front,31145,28320,3.5,6,255,19,26,3306,108,194
Infiniti,M45 4dr,Sedan,Asia,Rear,42845,38792,4.5,8,340,17,23,3851,110,197
Infiniti,Q45 Luxury 4dr,Sedan,Asia,Rear,52545,47575,4.5,8,340,17,23,3977,113,200
Infiniti,FX35,Wagon,Asia,Rear,34895,31756,3.5,6,280,16,22,4056,112,189
Infiniti,FX45,Wagon,Asia,All,36395,33121,4.5,8,315,15,19,4309,112,189
Isuzu,Ascender S,SUV,Asia,All,31849,29977,4.2,6,275,15,20,4967,129,208
Isuzu,Rodeo S,SUV,Asia,Front,20449,19261,3.2,6,193,17,21,3836,106,178
Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,29995,27355,2.5,6,192,18,26,3428,107,184
Jaguar,X-Type 3.0 4dr,Sedan,Europe,All,33995,30995,3,6,227,18,25,3516,107,184
Jaguar,S-Type 3.0 4dr,Sedan,Europe,Rear,43895,40004,3,6,235,18,26,3777,115,192
Jaguar,S-Type 4.2 4dr,Sedan,Europe,Rear,49995,45556,4.2,8,294,18,28,3874,115,192
Jaguar,S-Type R 4dr,Sedan,Europe,Rear,63120,57499,4.2,8,390,17,24,4046,115,192
Jaguar,Vanden Plas 4dr,Sedan,Europe,Rear,68995,62846,4.2,8,294,18,28,3803,119,200
Jaguar,XJ8 4dr,Sedan,Europe,Rear,59995,54656,4.2,8,294,18,28,3803,119,200
Jaguar,XJR 4dr,Sedan,Europe,Rear,74995,68306,4.2,8,390,17,24,3948,119,200
Jaguar,XK8 coupe 2dr,Sports,Europe,Rear,69995,63756,4.2,8,294,18,26,3779,102,187
Jaguar,XK8 convertible 2dr,Sports,Europe,Rear,74995,68306,4.2,8,294,18,26,3980,102,187
Jaguar,XKR coupe 2dr,Sports,Europe,Rear,81995,74676,4.2,8,390,16,23,3865,102,187
Jaguar,XKR convertible 2dr,Sports,Europe,Rear,86995,79226,4.2,8,390,16,23,4042,102,187
Jeep,Grand Cherokee Laredo,SUV,USA,Front,27905,25686,4,6,195,16,21,3790,106,181
Jeep,Liberty Sport,SUV,USA,All,20130,18973,2.4,4,150,20,24,3826,104,174
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,25520,23275,4,6,190,16,19,3575,93,150
Kia,Sorento LX,SUV,Asia,Front,19635,18630,3.5,6,192,16,19,4112,107,180
Kia,Optima LX 4dr,Sedan,Asia,Front,16040,14910,2.4,4,138,23,30,3281,106,186
Kia,Rio 4dr manual,Sedan,Asia,Front,10280,9875,1.6,4,104,26,33,2403,95,167
Kia,Rio 4dr auto,Sedan,Asia,Front,11155,10705,1.6,4,104,25,32,2458,95,167
Kia,Spectra 4dr,Sedan,Asia,Front,12360,11630,1.8,4,124,24,32,2661,101,178
Kia,Spectra GS 4dr hatch,Sedan,Asia,Front,13580,12830,1.8,4,124,24,32,2686,101,178
Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front,14630,13790,1.8,4,124,24,32,2697,101,178
Kia,Optima LX V6 4dr,Sedan,Asia,Front,18435,16850,2.7,6,170,20,27,3279,106,186
Kia,Amanti 4dr,Sedan,Asia,Front,26000,23764,3.5,6,195,17,25,4021,110,196
Kia,Sedona LX,Sedan,Asia,Front,20615,19400,3.5,6,195,16,22,4802,115,194
Kia,Rio Cinco,Wagon,Asia,Front,11905,11410,1.6,4,104,26,33,2447,95,167
Land Rover,Range Rover HSE,SUV,Europe,All,72250,65807,4.4,8,282,12,16,5379,113,195
Land Rover,Discovery SE,SUV,Europe,All,39250,35777,4.6,8,217,12,16,4576,100,185
Land Rover,Freelander SE,SUV,Europe,All,25995,23969,2.5,6,174,18,21,3577,101,175
Lexus,GX 470,SUV,Asia,All,45700,39838,4.7,8,235,15,19,4740,110,188
Lexus,LX 470,SUV,Asia,All,64800,56455,4.7,8,235,13,17,5590,112,193
Lexus,RX 330,SUV,Asia,All,39195,34576,3.3,6,230,18,24,4065,107,186
Lexus,ES 330 4dr,Sedan,Asia,Front,32350,28755,3.3,6,225,20,29,3460,107,191
Lexus,IS 300 4dr manual,Sedan,Asia,Rear,31045,27404,3,6,215,18,25,3255,105,177
Lexus,IS 300 4dr auto,Sedan,Asia,Rear,32415,28611,3,6,215,18,24,3285,105,177
Lexus,GS 300 4dr,Sedan,Asia,Rear,41010,36196,3,6,220,18,25,3649,110,189
Lexus,GS 430 4dr,Sedan,Asia,Rear,48450,42232,4.3,8,300,18,23,3715,110,189
Lexus,LS 430 4dr,Sedan,Asia,Rear,55750,48583,4.3,8,290,18,25,3990,115,197
Lexus,SC 430 convertible 2dr,Sports,Asia,Rear,63200,55063,4.3,8,300,18,23,3840,103,178
Lexus,IS 300 SportCross,Wagon,Asia,Rear,32455,28647,3,6,215,18,24,3410,105,177
Lincoln,Navigator Luxury,SUV,USA,All,52775,46360,5.4,8,300,13,18,5969,119,206
Lincoln,Aviator Ultimate,SUV,USA,Front,42915,39443,4.6,8,302,13,18,4834,114,193
Lincoln,LS V6 Luxury 4dr,Sedan,USA,Rear,32495,29969,3,6,232,20,26,3681,115,194
Lincoln,LS V6 Premium 4dr,Sedan,USA,Rear,36895,33929,3,6,232,20,26,3681,115,194
Lincoln,LS V8 Sport 4dr,Sedan,USA,Rear,40095,36809,3.9,8,280,17,24,3768,115,194
Lincoln,LS V8 Ultimate 4dr,Sedan,USA,Rear,43495,39869,3.9,8,280,17,24,3768,115,194
Lincoln,Town Car Signature 4dr,Sedan,USA,Rear,41815,38418,4.6,8,239,17,25,4369,118,215
Lincoln,Town Car Ultimate 4dr,Sedan,USA,Rear,44925,41217,4.6,8,239,17,25,4369,118,215
Lincoln,Town Car Ultimate L 4dr,Sedan,USA,Rear,50470,46208,4.6,8,239,17,25,4474,124,221
MINI,Cooper,Sedan,Europe,Front,16999,15437,1.6,4,115,28,37,2524,97,143
MINI,Cooper S,Sedan,Europe,Front,19999,18137,1.6,4,163,25,34,2678,97,144
Mazda,Tribute DX 2.0,SUV,Asia,All,21087,19742,2,4,130,22,25,3091,103,173
Mazda,Mazda3 i 4dr,Sedan,Asia,Front,15500,14525,2,4,148,26,34,2696,104,178
Mazda,Mazda3 s 4dr,Sedan,Asia,Front,17200,15922,2.3,4,160,25,31,2762,104,179
Mazda,Mazda6 i 4dr,Sedan,Asia,Front,19270,17817,2.3,4,160,24,32,3042,105,187
Mazda,MPV ES,Sedan,Asia,Front,28750,26600,3,6,200,18,25,3812,112,188
Mazda,MX-5 Miata convertible 2dr,Sports,Asia,Rear,22388,20701,1.8,4,142,23,28,2387,89,156
Mazda,MX-5 Miata LS convertible 2dr,Sports,Asia,Rear,25193,23285,1.8,4,142,23,28,2387,89,156
Mazda,RX-8 4dr automatic,Sports,Asia,Rear,25700,23794,1.3,,197,18,25,3053,106,174
Mazda,RX-8 4dr manual,Sports,Asia,Rear,27200,25179,1.3,,238,18,24,3029,106,174
Mazda,B2300 SX Regular Cab,Truck,Asia,Rear,14840,14070,2.3,4,143,24,29,2960,112,188
Mazda,B4000 SE Cab Plus,Truck,Asia,All,22350,20482,4,6,207,15,19,3571,126,203
Mercedes-Benz,G500,SUV,Europe,All,76870,71540,5,8,292,13,14,5423,112,186
Mercedes-Benz,ML500,SUV,Europe,All,46470,43268,5,8,288,14,17,4874,111,183
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,Rear,26060,24249,1.8,4,189,22,30,3250,107,178
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,Rear,28370,26435,3.2,6,215,19,26,3430,107,178
Mercedes-Benz,C240 4dr,Sedan,Europe,Rear,32280,30071,2.6,6,168,20,25,3360,107,178
Mercedes-Benz,C240 4dr,Sedan,Europe,All,33480,31187,2.6,6,168,19,25,3360,107,178
Mercedes-Benz,C320 Sport 4dr,Sedan,Europe,Rear,35920,33456,3.2,6,215,19,26,3430,107,178
Mercedes-Benz,C320 4dr,Sedan,Europe,Rear,37630,35046,3.2,6,215,20,26,3450,107,178
Mercedes-Benz,C320 4dr,Sedan,Europe,All,38830,36162,3.2,6,215,19,27,3450,107,178
Mercedes-Benz,C32 AMG 4dr,Sedan,Europe,Rear,52120,48522,3.2,6,349,16,21,3540,107,178
Mercedes-Benz,CL500 2dr,Sedan,Europe,Rear,94820,88324,5,8,302,16,24,4085,114,196
Mercedes-Benz,CL600 2dr,Sedan,Europe,Rear,128420,119600,5.5,12,493,13,19,4473,114,196
Mercedes-Benz,CLK320 coupe 2dr (convertible),Sedan,Europe,Rear,45707,41966,3.2,6,215,20,26,3770,107,183
Mercedes-Benz,CLK500 coupe 2dr (convertible),Sedan,Europe,Rear,52800,49104,5,8,302,17,22,3585,107,183
Mercedes-Benz,E320 4dr,Sedan,Europe,Rear,48170,44849,3.2,6,221,19,27,3635,112,190
